old_child_id,uuid,new_child_id,reason,action,date,author,date_ihi
T-F0004-P0687,uuid:b4c35b57-d63a-4d81-9680-284df4edba50,T-F9004-P0687,training,delete,,,
T-F0025-P0524,uuid:9a235ea1-0cd7-4e02-b673-1ca71f0a6f57,T-F0025-N0524,non eligible - dummy data,delete,,,
T-F0021-P0376,uuid:fc1b858c-893a-49c8-b832-9ffb84ee5b3f,T-F9021-P0376,Ra manually entered pid with errors in the fid hes till sent the data and entered new records for these child with correct id,delete,8/2/2022,IHI,1/22/2022
T-F0021-P0377,uuid:0f6dfbfc-4336-4724-be5b-325d1bf81373,T-F9021-P0377,Ra manually entered pid with errors in the fid hes till sent the data and entered new records for these child with correct id,delete,8/2/2022,IHI,1/22/2022
T-F0082-P1432,uuid:088e7954-5be0-4678-9bef-864b2a59738e,T-F0082-P1432,,delete,,IHI,16-Aug-22
T-F0082-P1417,uuid:7a5fbe4b-7bb0-4f5b-9961-87de575fd8dc,T-F0082-P1417,Ra re-entered data with the correct ID - there was difference in these records so I retained the first informarion entered,delete,,IHI,15-Aug-22
T-F0082-P1420,uuid:206a9b2e-38d2-4f14-a29e-aa6b73faf890,T-F0082-P1420,Ra re-entered data with the correct ID - there was difference in these records so I retained the first informarion entered,delete,,IHI,15-Aug-22
T-F0102-P1321,uuid:048460ca-69d7-4d3a-af60-a35dcdcb6eb1,T-F0102-P1321,,delete,,IHI,9/19/2022
T-F0033-P0705,uuid:bbdd7161-2241-4b15-bbdb-20028532cc24,T-F0033-P0705,RA re entered information of the participants two times after mistakengly taking the picture,delete,,IHI,12/16/2022
T-F0018-P1505,uuid:4aaba3b4-aaef-4a21-83cc-b660350e14fd,T-F0018-P1504,,delete,,IHI,1/23/2023
